"DateTime","Players","Average Players","Twitch Viewers"
"2014-08-10 00:00:00",6742,,
"2014-08-11 00:00:00",5723,,
"2014-08-12 00:00:00",5737,,
"2014-08-13 00:00:00",5736,,
"2014-08-14 00:00:00",5214,,
"2014-08-15 00:00:00",5979,,
"2014-08-16 00:00:00",6382,,
"2014-08-17 00:00:00",6335,,
"2014-08-18 00:00:00",5557,,
"2014-08-19 00:00:00",5331,,
"2014-08-20 00:00:00",19590,,
"2014-08-21 00:00:00",19460,,
"2014-08-22 00:00:00",22176,,
"2014-08-23 00:00:00",24646,,
"2014-08-24 00:00:00",24367,,
"2014-08-25 00:00:00",20713,,
"2014-08-26 00:00:00",19921,,
"2014-08-27 00:00:00",18782,,
"2014-08-28 00:00:00",17807,,
"2014-08-29 00:00:00",18892,,
"2014-08-30 00:00:00",19766,,
"2014-08-31 00:00:00",19423,,
"2014-09-01 00:00:00",19303,,
"2014-09-02 00:00:00",15216,,
"2014-09-03 00:00:00",14922,,
"2014-09-04 00:00:00",14207,,
"2014-09-05 00:00:00",16379,,
"2014-09-06 00:00:00",16988,,
"2014-09-07 00:00:00",16640,,
"2014-09-08 00:00:00",13479,,
"2014-09-09 00:00:00",13218,,
"2014-09-10 00:00:00",12538,,
"2014-09-11 00:00:00",12420,,
"2014-09-12 00:00:00",14488,,
"2014-09-13 00:00:00",15297,,
"2014-09-14 00:00:00",14728,,
"2014-09-15 00:00:00",12167,,
"2014-09-16 00:00:00",11229,,
"2014-09-17 00:00:00",10974,,
"2014-09-18 00:00:00",10884,,
"2014-09-19 00:00:00",12398,,
"2014-09-20 00:00:00",12846,,
"2014-09-21 00:00:00",12367,,
"2014-09-22 00:00:00",10622,,
"2014-09-23 00:00:00",9890,,
"2014-09-24 00:00:00",9729,,
"2014-09-25 00:00:00",9716,,
"2014-09-26 00:00:00",11054,,
"2014-09-27 00:00:00",11806,,
"2014-09-28 00:00:00",11452,,
"2014-09-29 00:00:00",9360,,
"2014-09-30 00:00:00",8929,,
"2014-10-01 00:00:00",10832,,
"2014-10-02 00:00:00",9046,,
"2014-10-03 00:00:00",10638,,
"2014-10-04 00:00:00",10914,,
"2014-10-05 00:00:00",10666,,
"2014-10-06 00:00:00",8639,,
"2014-10-07 00:00:00",8486,,
"2014-10-08 00:00:00",8353,,
"2014-10-09 00:00:00",8281,,
"2014-10-10 00:00:00",9471,,
"2014-10-11 00:00:00",9988,,
"2014-10-12 00:00:00",9668,,
"2014-10-13 00:00:00",8536,,
"2014-10-14 00:00:00",7606,,
"2014-10-15 00:00:00",7397,,
"2014-10-16 00:00:00",7279,,
"2014-10-17 00:00:00",8446,,
"2014-10-18 00:00:00",8427,,
"2014-10-19 00:00:00",8199,,
"2014-10-20 00:00:00",6857,,
"2014-10-21 00:00:00",6814,,
"2014-10-22 00:00:00",7081,,
"2014-10-23 00:00:00",7857,,
"2014-10-24 00:00:00",8800,,
"2014-10-25 00:00:00",8804,,
"2014-10-26 00:00:00",8764,,
"2014-10-27 00:00:00",7417,,
"2014-10-28 00:00:00",7411,,
"2014-10-29 00:00:00",7314,,
"2014-10-30 00:00:00",7210,,
"2014-10-31 00:00:00",7809,,
"2014-11-01 00:00:00",8257,,
"2014-11-02 00:00:00",8206,,
"2014-11-03 00:00:00",6350,,
"2014-11-04 00:00:00",6284,,
"2014-11-05 00:00:00",6304,,
"2014-11-06 00:00:00",6122,,
"2014-11-07 00:00:00",7424,,
"2014-11-08 00:00:00",7619,,
"2014-11-09 00:00:00",7656,,
"2014-11-10 00:00:00",6324,,
"2014-11-11 00:00:00",6339,,
"2014-11-12 00:00:00",5530,,
"2014-11-13 00:00:00",5599,,
"2014-11-14 00:00:00",6722,,
"2014-11-15 00:00:00",7138,,
"2014-11-16 00:00:00",7049,,
"2014-11-17 00:00:00",5655,,
